Product Name,Description,Price,Photo,SKU,Category,Warehouse Name,Min Stock Level
कृषि कंप्यूटर,एक क्रॉप प्लानर्स की सहायता से फ़ार्मर्स के लिए दक्षिण-पश्चिम से लेकर पूर्वोत्तर तक के सभी क्षेत्रों में कृषि का व्यवसाय करना।,2300,https://images.pexels.com/photos/792199/pexels-photo-792199.jpeg,AGR-PC1,कृषि मार्गदर्शक,भारतीय कृषि संस्थान,1000
market advisor,भारत में किसानों के लिए मार्केट इन्साइट्स प्रदान करता है और कृषि के आधार पर निर्णय लेने में मदद करता है।,1500,https://images.pexels.com/photos/868110/pexels-photo-868110.jpeg,AGR-MB1,मार्केट एडバイजर,भारतीय कृषि संस्थान,500
Weather App,"भारत में कृषि के लिए मौसम जानकारी प्रदान करता है, जो किसानों के लिए कृषि का व्यवसाय करने में मदद करता है।",1200,https://images.pexels.com/photos/1431822/pexels-photo-1431822.jpeg,AGR-WA1,कृषि माuser,भारतीय कृषि संस्थान,2000
connect,किसानों के लिए कृषि का व्यवसाय करने में मदद करने वाला एक ऑनलाइन प्लेटफॉर्म है।,1800,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333b-733a-906d-439999622531,AGR-CN1,कृषि कनाल,भारतीय कृषि संस्थान,1500
कृषि फ़ार्मर्स के लिए ट्रेनिंग प्रोग्राम,किसानों के लिए कृषि का व्यवसाय करने में मदद करने वाला एक ऑनलाइन ट्रेनिंग प्रोग्राम है।,1000,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-4f770ebab313,AGR-TP1,कृषि माuser,भारतीय कृषि संस्थान,800
कृषि कंप्यूटर सॉफ्टवेयर,"कृषि के लिए कंप्यूटर सॉफ्टवेयर, जो किसानों के लिए कृषि का व्यवसाय करने में मदद करता है।",2200,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-508b5d75ca68,AGR-PC2,कृषि सॉफ्टवेयर,भारतीय कृषि संस्थान,1000
खेती का साथी (farming helper),एक अत्याधुनिक कृषि-आधारित चैटबॉट जिसमें किसानों के साथ बातचीत होती है और उन्हें अपने क्षेत्र की मौसम की स्थिति और प्रजाति की आवश्यकता का जवाब देता है।,150,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-5974ef080ab2,KCS-001,Farm Tools,भारतीय कृषि संस्थान,1000
मौसम की सुगमता (Mausam Ki Sugamta),एक कृषि-आधारित मौसम हॉटलाइन जिसमें किसानों को सबसे अच्छा मौसम में अपने क्षेत्र क आधार कृषि-प्रक्रिया के लिए सुझाव देता है।,200,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-6246e313e38c,MKS-002,Weather Forecasting,भारतीय कृषि संस्थान,500
कृषि प्लानर (crop Planar),एक कृषि-आधारित कृषि-प्लानर जिसमें किसानों को सबसे अच्छा कृषि-प्रक्रिया के लिए सुझाव देता है।,300,https://images.pexels.com/photos/1112080/pexels-photo-1112080.jpeg,AGR-PC2,Farm Planning,भारतीय कृषि संस्थान,2000
मार्केट एडवाइज़र (Market Advisor),एक कृषि-आधारित मार्केट एडवाइज़र जिसमें किसानों को लाइव मार्केट की जानकारी प्राप्त होती है और उन्हें सबसे अच्छा मार्केट प्राइसिंग सुझाव देता है।,250,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-77bd05ab7e28,MA-004,कृषि मार्गदर्शक,भारतीय कृषि संस्थान,1500
खेती का मार्गदर्शन (Kheti Ka Margdirshan),एक कृषि-आधारित मार्गदर्शन प्रणाली जिसमें किसानों को सबसे अच्छा कृषि-प्रक्रिया के लिए सुझाव देता है और उन्हें कृषि क्षेत्र की मौसम की स्थिति और प्रजाति की आवश्यकता की जानकारी प्राप्त होती है।,350,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-79ee242ce0cd,KKM-005,मार्केट एडバイजर,IIT Bombay,1000
कृषि-एम्प्लीफायर (Kheti-Amplifier),एक कृषि-आधारित एम्प्लीफायर जिसमें किसानों को सबसे अच्छा कृषि-प्रक्रिया के लिए सुझाव देता है और उन्हें कृषि क्षेत्र की मौसम की स्थिति और प्रजाति की आवश्यकता की जानकारी प्राप्त होती है।,400,https://res.cloudinary.com/glide/image/upload/onboarding_img/01961611-333c-733a-906d-874b918a7d68,KA-006,Farm Amplifier,IIT Bombay,800
